"p_cens","n","tempo","preditor","modelo","vicio","eqm"
0.25,500,1,0,"RSF",0.000444518369211216,0.00057460093725293
0.25,500,1,0,"XGBoost",-0.17003608369531,0.032358420591124
0.25,500,1,1,"RSF",0.00137412551854396,0.000650355633620406
0.25,500,1,1,"XGBoost",-0.220776361260726,0.0512002948057886
0.25,500,3,0,"RSF",0.000513085868491385,0.000874242021279799
0.25,500,3,0,"XGBoost",-0.240691587731386,0.062590814144814
0.25,500,3,1,"RSF",0.00033535131435447,0.000885581439340538
0.25,500,3,1,"XGBoost",-0.250611615722943,0.0658683447675747
0.25,500,5,0,"RSF",-0.000477604512237307,0.00107331188534493
0.25,500,5,0,"XGBoost",-0.261789590635558,0.0755466065628011
0.25,500,5,1,"RSF",-0.000817404949084369,0.00106629076690377
0.25,500,5,1,"XGBoost",-0.265436956306833,0.0749306094535683
0.25,1000,1,0,"RSF",0.000106827622164958,0.000327628783753813
0.25,1000,1,0,"XGBoost",-0.177423908184861,0.0343172174168758
0.25,1000,1,1,"RSF",-0.000230126370848671,0.000333629426885243
0.25,1000,1,1,"XGBoost",-0.220794198185882,0.0507146470866317
0.25,1000,3,0,"RSF",-0.000379674846650447,0.000452455669454351
0.25,1000,3,0,"XGBoost",-0.251735331041036,0.0677503663317877
0.25,1000,3,1,"RSF",-0.000558638820996649,0.000435200269189871
0.25,1000,3,1,"XGBoost",-0.247020415956663,0.0642261703626459
0.25,1000,5,0,"RSF",-0.000127183805103781,0.000464204691604607
0.25,1000,5,0,"XGBoost",-0.277489182975532,0.0833947242259066
0.25,1000,5,1,"RSF",-0.000572733860320843,0.000478143737820235
0.25,1000,5,1,"XGBoost",-0.256624508149957,0.0706472925992003
0.25,2500,1,0,"RSF",0.000178805901635032,0.000124448756437664
0.25,2500,1,0,"XGBoost",-0.189269440821506,0.0386762481723539
0.25,2500,1,1,"RSF",-6.43934182029456e-05,0.000117732276060667
0.25,2500,1,1,"XGBoost",-0.213757255755766,0.0477349496858747
0.25,2500,3,0,"RSF",0.000753467436221041,0.000168262511492041
0.25,2500,3,0,"XGBoost",-0.2681732277549,0.0769811878939136
0.25,2500,3,1,"RSF",0.000716936690118752,0.000175554906609604
0.25,2500,3,1,"XGBoost",-0.233592522870332,0.0586208481594561
0.25,2500,5,0,"RSF",-0.00032781101786964,0.000206777439479015
0.25,2500,5,0,"XGBoost",-0.304682298479463,0.0998346562687749
0.25,2500,5,1,"RSF",-0.000340307498019643,0.000186777787034376
0.25,2500,5,1,"XGBoost",-0.239286696445606,0.0630203631325728
0.25,5000,1,0,"RSF",0.000405282328811257,5.88066265040092e-05
0.25,5000,1,0,"XGBoost",-0.202215223354372,0.0443304322028332
0.25,5000,1,1,"RSF",0.000221671799203996,6.32121324437345e-05
0.25,5000,1,1,"XGBoost",-0.204640782859832,0.0444741241733808
0.25,5000,3,0,"RSF",7.62467946386674e-05,8.14326873784114e-05
0.25,5000,3,0,"XGBoost",-0.286635510905196,0.0876273917199768
0.25,5000,3,1,"RSF",-8.85108744442312e-05,8.48300807360313e-05
0.25,5000,3,1,"XGBoost",-0.223471384739171,0.054704142145809
0.25,5000,5,0,"RSF",0.000135971309980448,9.54735577102186e-05
0.25,5000,5,0,"XGBoost",-0.318114936589938,0.108011851248924
0.25,5000,5,1,"RSF",0.000382487738715565,0.000106025170235283
0.25,5000,5,1,"XGBoost",-0.229129693875893,0.0586799768276031
0.4,500,1,0,"RSF",-0.00100895982103334,0.000641454371176903
0.4,500,1,0,"XGBoost",-0.196027547448163,0.0421866708033332
0.4,500,1,1,"RSF",0.000574891260059382,0.000642178840416758
0.4,500,1,1,"XGBoost",-0.209020848958902,0.0464874688097894
0.4,500,3,0,"RSF",0.000525538354861152,0.000888610342202007
0.4,500,3,0,"XGBoost",-0.266563984816906,0.0761806891642039
0.4,500,3,1,"RSF",0.00285541397523739,0.000902226135300759
0.4,500,3,1,"XGBoost",-0.232969049827979,0.0581417508917609
0.4,500,5,0,"RSF",-0.000452254932427297,0.000970691248388836
0.4,500,5,0,"XGBoost",-0.302522211225502,0.0977902658797552
0.4,500,5,1,"RSF",0.000632014042661725,0.00100720634388822
0.4,500,5,1,"XGBoost",-0.242490219409154,0.0637136249016485
0.4,1000,1,0,"RSF",0.000178371973847505,0.00032812624500548
0.4,1000,1,0,"XGBoost",-0.201806669422892,0.0442913171449608
0.4,1000,1,1,"RSF",-0.000283717059423266,0.000311049521758987
0.4,1000,1,1,"XGBoost",-0.206233956213177,0.045062478733753
0.4,1000,3,0,"RSF",-0.000971696232916388,0.000421875771075061
0.4,1000,3,0,"XGBoost",-0.280829350140525,0.0836807337435889
0.4,1000,3,1,"RSF",0.000325174258083967,0.000428517266683292
0.4,1000,3,1,"XGBoost",-0.229785641313931,0.0567644610204796
0.4,1000,5,0,"RSF",-0.000770623450632248,0.000536590560550518
0.4,1000,5,0,"XGBoost",-0.316060089536258,0.10597186032751
0.4,1000,5,1,"RSF",-8.75835546849414e-05,0.000462325646705685
0.4,1000,5,1,"XGBoost",-0.235576970987116,0.0607065774573547
0.4,2500,1,0,"RSF",-0.000340063074316054,0.000128756436619572
0.4,2500,1,0,"XGBoost",-0.217625531261648,0.0508581467936456
0.4,2500,1,1,"RSF",-0.000344156129398513,0.000115603422128942
0.4,2500,1,1,"XGBoost",-0.19739897877818,0.0418193442424225
0.4,2500,3,0,"RSF",6.67090851195018e-05,0.000193050241116328
0.4,2500,3,0,"XGBoost",-0.294686500760059,0.0919934799295634
0.4,2500,3,1,"RSF",-0.000187593396422877,0.000166843567623853
0.4,2500,3,1,"XGBoost",-0.22041913019369,0.0532520255711413
0.4,2500,5,0,"RSF",-0.00049932653029579,0.000195756008364307
0.4,2500,5,0,"XGBoost",-0.327746116273489,0.113498556260575
0.4,2500,5,1,"RSF",-0.00109387228427788,0.000181764524659868
0.4,2500,5,1,"XGBoost",-0.229360134290742,0.0582975389035087
0.4,5000,1,0,"RSF",5.28467048262986e-05,5.98011765347399e-05
0.4,5000,1,0,"XGBoost",-0.227881844985618,0.0555831005382491
0.4,5000,1,1,"RSF",9.32523143869375e-05,6.44339422807007e-05
0.4,5000,1,1,"XGBoost",-0.189355139974649,0.039025247456975
0.4,5000,3,0,"RSF",8.00617003518271e-05,8.66676318441214e-05
0.4,5000,3,0,"XGBoost",-0.300424253422822,0.0954558348237864
0.4,5000,3,1,"RSF",-0.000288975003247993,8.31497681305959e-05
0.4,5000,3,1,"XGBoost",-0.216784067818452,0.0519386323190347
0.4,5000,5,0,"RSF",-0.000536539424786148,0.000104069187393828
0.4,5000,5,0,"XGBoost",-0.330915527172979,0.115603661830523
0.4,5000,5,1,"RSF",-0.00048457991767633,9.47862770900201e-05
0.4,5000,5,1,"XGBoost",-0.226314889713291,0.0571019620965072
0.5,500,1,0,"RSF",-0.00100057459979743,0.00068687213751686
0.5,500,1,0,"XGBoost",-0.211952251990256,0.0490728193390237
0.5,500,1,1,"RSF",-0.000130535272316523,0.000644783563273229
0.5,500,1,1,"XGBoost",-0.200837771434454,0.0433379400321287
0.5,500,3,0,"RSF",-0.00121352723620731,0.00085122610021633
0.5,500,3,0,"XGBoost",-0.275876691428266,0.0843509760533975
0.5,500,3,1,"RSF",0.000139112792388193,0.000883692626322296
0.5,500,3,1,"XGBoost",-0.233235637333804,0.061314865015846
0.5,500,5,0,"RSF",0.00072656852278614,0.000937979999762521
0.5,500,5,0,"XGBoost",-0.316777859781401,0.107991062063485
0.5,500,5,1,"RSF",0.00132754912284351,0.000875817265854206
0.5,500,5,1,"XGBoost",-0.235276192954164,0.0619111824135532
0.5,1000,1,0,"RSF",-0.000298837665296956,0.000306271806648031
0.5,1000,1,0,"XGBoost",-0.220150217374886,0.0518856089010175
0.5,1000,1,1,"RSF",-0.00135450648671197,0.000292217291824936
0.5,1000,1,1,"XGBoost",-0.198137214557226,0.0420405771335102
0.5,1000,3,0,"RSF",-0.0010187625896869,0.000467994925580808
0.5,1000,3,0,"XGBoost",-0.292556057233212,0.0929367146492413
0.5,1000,3,1,"RSF",-0.000705157958048172,0.000449274499677528
0.5,1000,3,1,"XGBoost",-0.224765674171006,0.0571821983457787
0.5,1000,5,0,"RSF",-0.000388766586363497,0.000512482598584269
0.5,1000,5,0,"XGBoost",-0.328109674570811,0.114892257323936
0.5,1000,5,1,"RSF",-0.00172225051208839,0.000503353015505102
0.5,1000,5,1,"XGBoost",-0.23379591246172,0.0613561343869378
0.5,2500,1,0,"RSF",-6.09975836527207e-05,0.000126734221891136
0.5,2500,1,0,"XGBoost",-0.230687032650052,0.0565517298157522
0.5,2500,1,1,"RSF",0.00027091189328641,0.000126430978710844
0.5,2500,1,1,"XGBoost",-0.18819904426501,0.0383762612217933
0.5,2500,3,0,"RSF",-0.000224119888482066,0.000182963560300431
0.5,2500,3,0,"XGBoost",-0.301128690045729,0.0972499777170309
0.5,2500,3,1,"RSF",2.50713362593382e-05,0.000175878058764237
0.5,2500,3,1,"XGBoost",-0.218254820819172,0.0538632140619116
0.5,2500,5,0,"RSF",-0.000348441336408629,0.000189453755514506
0.5,2500,5,0,"XGBoost",-0.334061880797537,0.118435133474947
0.5,2500,5,1,"RSF",-0.00117416193569787,0.000197662250585575
0.5,2500,5,1,"XGBoost",-0.229602599128037,0.0593587068525885
0.5,5000,1,0,"RSF",0.000365248226188225,6.53375468801047e-05
0.5,5000,1,0,"XGBoost",-0.235931124888018,0.0590992650454675
0.5,5000,1,1,"RSF",7.67803767804066e-05,6.62076565511575e-05
0.5,5000,1,1,"XGBoost",-0.184602445160896,0.037283293238217
0.5,5000,3,0,"RSF",0.000154988544233352,8.68458713896739e-05
0.5,5000,3,0,"XGBoost",-0.304455489519701,0.0989717194121144
0.5,5000,3,1,"RSF",3.37503690516636e-06,8.65110036524336e-05
0.5,5000,3,1,"XGBoost",-0.215742268335155,0.0526783223808759
0.5,5000,5,0,"RSF",0.000118924278308131,9.92209560159013e-05
0.5,5000,5,0,"XGBoost",-0.335229241373437,0.119158375224192
0.5,5000,5,1,"RSF",-1.64746273917937e-05,9.86163253567808e-05
0.5,5000,5,1,"XGBoost",-0.22714251433528,0.0582693825862282
0.6,500,1,0,"RSF",-0.00106592586860538,0.000606456072648162
0.6,500,1,0,"XGBoost",-0.220251317654096,0.0535378596682754
0.6,500,1,1,"RSF",-0.000544432892220209,0.000611970470624808
0.6,500,1,1,"XGBoost",-0.198436177671143,0.0433804589938891
0.6,500,3,0,"RSF",0.00153050315765337,0.000871587759508982
0.6,500,3,0,"XGBoost",-0.292996014548712,0.0952409229637625
0.6,500,3,1,"RSF",0.00100223019623382,0.000925700311432318
0.6,500,3,1,"XGBoost",-0.224677705694483,0.0590255385322026
0.6,500,5,0,"RSF",0.00163372842209792,0.000926686838260843
0.6,500,5,0,"XGBoost",-0.33389160733668,0.120069265897945
0.6,500,5,1,"RSF",0.000574329690617905,0.00097253398324051
0.6,500,5,1,"XGBoost",-0.236806267579305,0.0642735456004802
0.6,1000,1,0,"RSF",2.67029473253369e-05,0.000342467653393529
0.6,1000,1,0,"XGBoost",-0.230148509279331,0.0574242522589186
0.6,1000,1,1,"RSF",-0.000591172031944883,0.000339197743383912
0.6,1000,1,1,"XGBoost",-0.191164052121743,0.0405226357082296
0.6,1000,3,0,"RSF",0.000154590338902323,0.00044417569641939
0.6,1000,3,0,"XGBoost",-0.302931521395392,0.0996239596100138
0.6,1000,3,1,"RSF",0.00107251049135698,0.000431616316131921
0.6,1000,3,1,"XGBoost",-0.221761054718686,0.056600745337799
0.6,1000,5,0,"RSF",-0.000321858614164628,0.000497577087415325
0.6,1000,5,0,"XGBoost",-0.339606125752053,0.123227286824489
0.6,1000,5,1,"RSF",0.000841733940613519,0.000512053357643766
0.6,1000,5,1,"XGBoost",-0.235667698382165,0.0631784623751984
0.6,2500,1,0,"RSF",3.98741690655137e-06,0.00012259316339263
0.6,2500,1,0,"XGBoost",-0.238225620827509,0.0606598667973376
0.6,2500,1,1,"RSF",-0.000247983925603168,0.000115219886881421
0.6,2500,1,1,"XGBoost",-0.186143328747369,0.0382800174338572
0.6,2500,3,0,"RSF",0.000149151040972603,0.000178039046014776
0.6,2500,3,0,"XGBoost",-0.308527954414446,0.102275758042548
0.6,2500,3,1,"RSF",0.000456260126645789,0.000180956199699512
0.6,2500,3,1,"XGBoost",-0.219953470098772,0.055320468068382
0.6,2500,5,0,"RSF",6.93256929821512e-06,0.000195670372270948
0.6,2500,5,0,"XGBoost",-0.343319536055327,0.125641348680752
0.6,2500,5,1,"RSF",-0.000215679106958267,0.000191743240500403
0.6,2500,5,1,"XGBoost",-0.234636108842951,0.0627472328196078
0.6,5000,1,0,"RSF",-0.000366348595043423,5.976239363114e-05
0.6,5000,1,0,"XGBoost",-0.241645788421778,0.0620979485937716
0.6,5000,1,1,"RSF",1.63184188887562e-05,6.34761978770603e-05
0.6,5000,1,1,"XGBoost",-0.184073287923697,0.0374846798411994
0.6,5000,3,0,"RSF",-1.1656502715775e-05,8.75003510948309e-05
0.6,5000,3,0,"XGBoost",-0.31044277222986,0.103192950979794
0.6,5000,3,1,"RSF",9.29646487751872e-05,9.05142792760394e-05
0.6,5000,3,1,"XGBoost",-0.219378824889479,0.0548638509643184
0.6,5000,5,0,"RSF",-0.000320687783407603,9.86099127153023e-05
0.6,5000,5,0,"XGBoost",-0.344094235154995,0.126153860815772
0.6,5000,5,1,"RSF",5.20436372205623e-06,0.000101083787318797
0.6,5000,5,1,"XGBoost",-0.234137928676561,0.0625191432174223
0.7,500,1,0,"RSF",-0.000235175320470853,0.000634682045657892
0.7,500,1,0,"XGBoost",-0.238371534213477,0.0617504789758568
0.7,500,1,1,"RSF",0.000368816971273665,0.000637567023119242
0.7,500,1,1,"XGBoost",-0.190573913346059,0.0409108302919451
0.7,500,3,0,"RSF",-0.000512345682233765,0.000876542379741543
0.7,500,3,0,"XGBoost",-0.319778266432631,0.111123580058492
0.7,500,3,1,"RSF",0.000604047012024103,0.000878255840701843
0.7,500,3,1,"XGBoost",-0.235105855963765,0.0638943747717275
0.7,500,5,0,"RSF",-0.00039930000370848,0.0009948440991432
0.7,500,5,0,"XGBoost",-0.362127363835489,0.146213909914814
0.7,500,5,1,"RSF",-0.000853658227091391,0.00103966420412289
0.7,500,5,1,"XGBoost",-0.259651730636118,0.0822803714139046
0.7,1000,1,0,"RSF",-0.000145776731883787,0.000325529686204454
0.7,1000,1,0,"XGBoost",-0.242184822926869,0.0628095167673674
0.7,1000,1,1,"RSF",0.000521891837356985,0.000317298032259701
0.7,1000,1,1,"XGBoost",-0.188841220472232,0.0396380723270342
0.7,1000,3,0,"RSF",0.000395164992920173,0.000436225063162056
0.7,1000,3,0,"XGBoost",-0.323009434392526,0.112852260857246
0.7,1000,3,1,"RSF",-0.000784237142678113,0.000444211282631102
0.7,1000,3,1,"XGBoost",-0.234255552404354,0.0632757240378253
0.7,1000,5,0,"RSF",-0.000376679429196723,0.000505643294136942
0.7,1000,5,0,"XGBoost",-0.364955512131184,0.146994700749661
0.7,1000,5,1,"RSF",-0.0003456262168877,0.000562904757388287
0.7,1000,5,1,"XGBoost",-0.257994353912723,0.0802623919888323
0.7,2500,1,0,"RSF",0.000116251498185862,0.000122932721589065
0.7,2500,1,0,"XGBoost",-0.245816208294713,0.0643331273490959
0.7,2500,1,1,"RSF",0.000230724087640345,0.000126455313864059
0.7,2500,1,1,"XGBoost",-0.186895525985934,0.0387606685783013
0.7,2500,3,0,"RSF",6.47286337478538e-05,0.000173698624192677
0.7,2500,3,0,"XGBoost",-0.32484690398062,0.11366067434337
0.7,2500,3,1,"RSF",-2.94866543520726e-06,0.000158337456918562
0.7,2500,3,1,"XGBoost",-0.23343565023658,0.0625729485626325
0.7,2500,5,0,"RSF",-0.000692086230403489,0.000213486522953964
0.7,2500,5,0,"XGBoost",-0.36758927587225,0.1481168876959
0.7,2500,5,1,"RSF",-0.000332960140051285,0.000225153654462355
0.7,2500,5,1,"XGBoost",-0.257260635716572,0.0791540645141901
0.7,5000,1,0,"RSF",-0.000188506901485548,6.60599967056675e-05
0.7,5000,1,0,"XGBoost",-0.247544589909031,0.0651963162660179
0.7,5000,1,1,"RSF",6.48871942802496e-06,6.78954394510886e-05
0.7,5000,1,1,"XGBoost",-0.186963568520631,0.0388343882310744
0.7,5000,3,0,"RSF",0.000312339733537782,8.9604484450752e-05
0.7,5000,3,0,"XGBoost",-0.32494714941493,0.113761282933098
0.7,5000,3,1,"RSF",0.00030571068008526,8.99041385954014e-05
0.7,5000,3,1,"XGBoost",-0.232144756944832,0.0620482937216953
0.7,5000,5,0,"RSF",-3.7275477834064e-05,0.000103143031886349
0.7,5000,5,0,"XGBoost",-0.367488522067846,0.147851494664009
0.7,5000,5,1,"RSF",0.00028377287721745,0.000105340074200742
0.7,5000,5,1,"XGBoost",-0.256474108570391,0.0785659728213347
